author_id	proper_name	dates
167	Мэн Цзяо	(751-814)
168	На Е	(1964-ныне)
169	Нан Цянь	(1620-1686)
170	Не Ичжун	(837 - ?)
171	Неизвестные авторы XVIII-XIX вв	(XVIII-XIX вв.)
172	Неизвестные поэтессы I-XX вв.	(I-XX в.в.)
173	Ни Цзань	(1301-1374)
174	Ню Ихэ	(1980-ныне)
175	Ню Сицзи	(880 - 930?)
176	Ню Хань	(1923-2013)
177	Оуян Сю	(1007-1072)
178	Оуян Чжань	(758 –801)
179	Пань Мохуа	(1902-1934)
180	Пань Мяобинь	(1964-ныне)
181	Пань Юэ	(247?-300?)
182	Простонародные рассказы, изданные в столице 	(X в. – XII в.)
183	Пу Сунлин	(1640-1715)
184	Пу Фэн	(1911-1943)
185	Пэй Ди	(716-?)
186	Пэй Ду	(765 - 839)
187	Се Бинсинь	(1900-1999)
188	Се Даоюнь	(IV в.)
189	Се И	(IV в.)
190	Се Линъюнь	(385-433)
191	Се Тяо	(464-499)
192	Се Хуэйлянь	(387-433)
193	Се Цзюй	(499?-548)
194	Се Чжаочжи	(1567-1624)
195	Се Чжэнь	(1495-1575)
196	Си Мужун	(1943-ныне)
197	Си Чуань	(1963-ныне)
198	Син Дэ	(1631-1647?)
199	Синь Цицзи	(1140-1207)
200	Су Маньшу	(1884-1918)
201	Су Ши	(1037–1101)
202	Сун Дэнчунь	(ок. 1633)
203	Сун Линъюнь	(ок. 1700)
204	Сун Лянь	(1310-1381)
205	Сун Чживэнь	(? - 712)
206	Сун Юй	(298 до н. э - 222 до н. э )
207	Сунь Вэньбо	(1956-ныне)
208	Сунь Чо	(314-371)
209	Сунь Юньфэн	(XIX в.)
210	Сыкун Ту	(837-908)
211	Сюаньюань Шикэ	(1971-ныне)
212	Сюй Бэнь	(1335-1380)
213	Сюй Сюэпин	(1976-ныне)
214	Сюй Сянчэн	(1953-ныне)
215	Сюй Тун	(1561-1599)
216	Сюй Цзайсы	(на рубеже XIII-XIV)
217	Сюй Цзи	(1162-1214)
218	Сюй Цзинфань	(XVII в.)
219	Сюй Чжимо	(1895- 1931)
220	Сюй Юйно	(1893–1958)
221	Сюн Пэйюнь	(1973-ныне)
222	Сюэ Даохэн	(540-609)
223	Сюэ Ин	(вторая четверть IX в.)
224	Сюэ Сюань	(1389-1464)
225	Сюэ Тао	(768-831)
226	Сюэ Цзи	(649-713)
227	Ся Ваньшунь	(1631-1647?)
228	Сян Хунцзо	(1798-1832)
229	Сяо Сань	(1896-1983)
230	Сяо Сюэ	(1935-ныне)
231	Сяо Цзыфань	(486-549)
232	Сяо Чэнь	(1962-ныне)
233	Сяо Янь	(464-549)
234	Тан Буюй	(1980-ныне)
235	Тан Вань	(XII в.)
236	Тан Инь	(1470-1523)
